"city","country","year","green_area_pc","temperature","temp_norm"
"Naha","Japan",2000,107.11848969,23.0081967213115,-0.74627264880042
"Daegu","Korea",2000,88.43290665,13.1120491803279,-1.0596105800606
"Busan","Korea",2000,31.3386347115532,14.7546994535519,-1.04958686975405
"Cheongju","Korea",2000,66.75649728,12.3917213114754,-0.99940169815127
"Daejeon","Korea",2000,49.80321095,12.5967759562842,-1.05889404012121
"Jeonju","Korea",2000,30.05020694,12.7693715846995,-0.726650704350501
"Ulsan","Korea",2000,59.460336,14.1857923497268,-0.956784027706293
"Changwon","Korea",2000,1.28489265,14.0463661202186,-1.08666089312491
"Gwangju","Korea",2000,65.26241761,13.2092349726776,-0.676348635491021
"Mexicali","Mexico",2000,7.93724815,23.3773770491803,-1.94113733501065
"Tijuana","Mexico",2000,1.9255495,16.2786885245902,0.192614898946988
