"","city","year","country","variable","value"
"224","Bremen",2013,"Germany","green_area_pc",1460.10485325
"225","Mannheim",2013,"Germany","green_area_pc",103.46589112
"226","Berlin",2014,"Germany","green_area_pc",906.305652
"227","München",2014,"Germany","green_area_pc",1601.12545935
"228","Frankfurt",2014,"Germany","green_area_pc",253.73642976
"229","Stuttgart",2014,"Germany","green_area_pc",346.67421228
"230","Leipzig",2014,"Germany","green_area_pc",304.17039294
"231","Dresden",2014,"Germany","green_area_pc",430.818128
"232","Dortmund",2014,"Germany","green_area_pc",53.02023342
"233","Bremen",2014,"Germany","green_area_pc",1460.11234032
"234","Mannheim",2014,"Germany","green_area_pc",103.4662116
"235","Berlin",2002,"Germany","temperature",9.84402739726027
"236","München",2002,"Germany","temperature",9.86309589041096
"237","Frankfurt",2002,"Germany","temperature",10.5294246575342
"238","Stuttgart",2002,"Germany","temperature",10.0751506849315
"239","Leipzig",2002,"Germany","temperature",10.0229589041096
"240","Dresden",2002,"Germany","temperature",9.22572602739726
"241","Dortmund",2002,"Germany","temperature",10.4291232876712
"242","Bremen",2002,"Germany","temperature",10.0510410958904
"243","Mannheim",2002,"Germany","temperature",10.9443561643836
"244","Berlin",2003,"Germany","temperature",9.80915068493151
"245","München",2003,"Germany","temperature",9.7932602739726
"246","Frankfurt",2003,"Germany","temperature",10.963095890411
"247","Stuttgart",2003,"Germany","temperature",10.3018904109589
"248","Leipzig",2003,"Germany","temperature",10.0825205479452
"249","Dresden",2003,"Germany","temperature",8.94742465753425
"250","Dortmund",2003,"Germany","temperature",10.3341369863014
"251","Bremen",2003,"Germany","temperature",9.75268493150685
"252","Mannheim",2003,"Germany","temperature",11.3534794520548
"253","Berlin",2004,"Germany","temperature",9.53928961748634
"254","München",2004,"Germany","temperature",8.9024043715847
"255","Frankfurt",2004,"Germany","temperature",10.0105464480874
"256","Stuttgart",2004,"Germany","temperature",9.5451912568306
"257","Leipzig",2004,"Germany","temperature",9.54811475409836
"258","Dresden",2004,"Germany","temperature",8.73904371584699
"259","Dortmund",2004,"Germany","temperature",9.76049180327869
"260","Bremen",2004,"Germany","temperature",9.82920765027322
"261","Mannheim",2004,"Germany","temperature",10.5060655737705
"262","Berlin",2005,"Germany","temperature",9.55723287671233
"263","München",2005,"Germany","temperature",8.56041095890411
"264","Frankfurt",2005,"Germany","temperature",10.4147945205479
"265","Stuttgart",2005,"Germany","temperature",9.44115068493151
